hand_strength,action,hero_profit
0.15,fold,-5
0.3,fold,-5
0.325,fold,-5
0.2,call,10
0.3,call,10
0.3,call,10
0.3,fold,-5
0.525,call,10
0.25,fold,-5
0.2,raise,-25
0.15,fold,-5
0.15,raise,-65
0.25,fold,-5
0.1,fold,-5
0.3,call,-25
0.25,fold,-5
0.4,fold,-5
0.15,call,10
0.125,fold,-5
0.125,fold,-5
0.35,fold,-5
0.3,fold,-5
0.15,fold,-5
0.1,raise,30
0.275,fold,-5
0.2,fold,-5
0.15,fold,-5
0.25,fold,-5
0.525,fold,-5
0.15,call,-5
0.4,raise,30
0.2,raise,-25
0.125,raise,30
0.3,fold,-5
0.325,fold,-5
0.55,raise,-25
0.25,fold,-5
0.3,fold,-5
0.4,fold,-5
0.3,fold,-5
0.4,fold,-5
0.25,raise,30
0.225,raise,-25
0.1,raise,-25
0.2,fold,-5
0.15,fold,-5
0.15,fold,-5
0.25,call,30
0.15,fold,-5
0.2,raise,-25
0.4,call,10
0.2,fold,-5
0.125,fold,-5
0.225,fold,-5
0.4,fold,-5
0.25,raise,50
0.35,fold,-5
0.35,fold,-5
0.15,fold,-5
0.3,fold,-5
0.075,fold,-5
0.4,fold,-5
0.175,fold,-5
0.3,fold,-5
0.15,call,-5
0.225,call,-5
0.25,raise,-45
0.25,raise,-25
0.275,fold,-5
0.15,fold,-5
0.4,fold,-5
0.3,raise,30
0.15,fold,-5
0.25,fold,-5
0.3,fold,-5
0.2,raise,30
0.3,fold,-5
0.4,fold,-5
0.4,fold,-5
0.325,fold,-5
0.35,fold,-5
0.15,fold,-5
0.4,fold,-5
0.3,fold,-5
0.4,fold,-5
0.3,fold,-5
0.3,fold,-5
0.3,fold,-5
0.4,fold,-5
0.6,call,10
0.225,raise,-25
0.4,fold,-5
0.175,fold,-5
0.15,raise,30
0.25,fold,-5
0.225,call,10
0.225,fold,-5
0.5,fold,-5
0.2,fold,-5
0.125,fold,-5
0.275,fold,-5
0.275,fold,-5
0.2,fold,-5
0.275,fold,-5
0.125,fold,-5
0.4,fold,-5
0.3,raise,30
0.2,fold,-5
0.15,fold,-5
0.15,fold,-5
0.15,fold,-5
0.4,fold,-5
0.3,fold,-5
0.55,raise,30
0.15,fold,-5
0.3,fold,-5
0.35,raise,30
0.35,fold,-5
0.2,raise,-25
0.25,call,10
0.4,fold,-5
0.25,fold,-5
0.225,fold,-5
0.375,fold,-5
0.55,fold,-5
0.4,fold,-5
0.225,fold,-5
0.175,fold,-5
0.5,fold,-5
0.3,fold,-5
0.175,fold,-5
0.225,raise,30
0.125,fold,-5
0.2,fold,-5
0.125,fold,-5
0.3,fold,-5
0.4,fold,-5
0.4,fold,-5
0.4,raise,50
0.25,fold,-5
0.3,fold,-5
0.3,fold,-5
0.25,fold,-5
0.125,fold,-5
0.275,raise,30
0.375,fold,-5
0.3,fold,-5
0.075,fold,-5
0.175,fold,-5
0.35,fold,-5
0.4,fold,-5
0.525,call,10
0.25,fold,-5
0.3,fold,-5
0.4,call,10
0.175,fold,-5
0.3,call,10
0.35,raise,-25
0.25,fold,-5
0.225,fold,-5
0.225,fold,-5
0.2,fold,-5
0.25,fold,-5
0.4,fold,-5
0.2,fold,-5
0.225,fold,-5
0.15,fold,-5
0.125,call,-5
0.225,call,10
0.1,fold,-5
0.175,fold,-5
0.55,call,10
0.2,raise,-25
0.175,call,10
0.175,fold,-5
0.25,call,10
0.125,fold,-5
0.175,fold,-5
0.225,raise,-25
0.425,fold,-5
0.2,call,-5
0.4,fold,-5
0.225,call,10
0.15,fold,-5
0.3,fold,-5
0.275,raise,30
0.4,fold,-5
0.2,fold,-5
0.125,call,10
0.15,fold,-5
0.375,fold,-5
0.3,fold,-5
0.15,raise,-25
0.225,raise,30
0.175,fold,-5
0.2,raise,30
0.375,fold,-5
0.175,raise,-25
0.5,fold,-5
0.35,fold,-5
0.35,fold,-5
0.4,call,10
0.3,fold,-5
0.25,call,10
0.175,fold,-5
0.3,fold,-5
0.4,raise,30
0.25,call,10
0.2,call,10
0.125,fold,-5
0.15,fold,-5
0.25,fold,-5
0.3,fold,-5
0.3,fold,-5
0.45,raise,30
0.15,fold,-5
0.3,call,10
0.55,fold,-5
0.4,fold,-5
0.3,fold,-5
0.15,raise,-25
0.25,fold,-5
0.3,call,-5
0.3,fold,-5
0.15,raise,-25
0.35,fold,-5
0.125,fold,-5
0.125,raise,-45
0.125,fold,-5
0.3,fold,-5
0.4,call,10
0.25,raise,-25
0.2,raise,-25
0.2,call,10
0.4,fold,-5
0.25,fold,-5
0.3,call,10
0.25,fold,-5
0.35,raise,30
0.2,fold,-5
0.4,raise,2
0.15,fold,-5
0.125,fold,-5
0.25,fold,-5
0.175,raise,-25
0.225,fold,-5
0.2,fold,-5
0.225,fold,-5
0.125,fold,-5
0.8,fold,-5
0.25,fold,-5
0.2,call,10
0.35,raise,30
0.35,fold,-5
0.45,fold,-5
0.525,call,-5
0.25,raise,-65
0.2,fold,-5
0.25,fold,-5
0.35,fold,-5
0.3,fold,-5
0.3,fold,-5
0.2,fold,-5
0.35,call,10
0.5,fold,-5
0.175,fold,-5
0.15,fold,-5
0.4,fold,-5
0.25,fold,-5
0.3,call,10
0.5,call,10
0.15,call,-25
0.25,fold,-5
0.125,fold,-5
0.25,call,10
0.3,raise,-25
0.2,fold,-5
0.15,fold,-5
0.5,fold,-5
0.4,fold,-5
0.225,call,-5
0.4,fold,-5
0.2,fold,-5
0.3,call,10
0.2,fold,-5
0.4,fold,-5
0.325,fold,-5
0.2,fold,-5
0.3,fold,-5
0.25,fold,-5
0.3,fold,-5
0.3,fold,-5
0.4,fold,-5
0.25,fold,-5
0.4,fold,-5
0.15,fold,-5
0.25,fold,-5
0.25,call,10
0.4,fold,-5
0.2,fold,-5
0.125,raise,2
0.15,raise,-25
0.175,fold,-5
0.275,raise,30
0.25,fold,-5
0.4,fold,-5
0.7,fold,-5
0.425,fold,-5
0.325,call,10
0.15,raise,30
0.25,fold,-5
0.3,fold,-5
0.225,fold,-5
0.2,fold,-5
0.2,fold,-5
0.25,call,-5
0.4,raise,30
0.2,call,10
0.3,raise,30
0.25,fold,-5
0.3,fold,-5
0.45,fold,-5
0.25,fold,-5
0.2,raise,30
0.25,call,10
0.3,raise,30
0.35,call,10
0.5,raise,-25
0.4,fold,-5
0.3,call,10
0.4,raise,30
0.4,raise,-25
0.525,call,10
0.4,raise,30
0.15,call,-5
0.075,fold,-5
0.225,raise,-25
0.25,call,10
0.125,fold,-5
0.5,fold,-5
0.225,fold,-5
0.15,call,10
0.2,raise,-25
0.4,fold,-5
0.175,fold,-5
0.15,call,10
0.275,raise,30
0.3,fold,-5
0.3,fold,-5
0.15,call,-5
0.4,raise,-45
0.225,call,10
0.4,fold,-5
0.4,fold,-5
0.3,raise,-25
0.4,fold,-5
0.3,call,10
0.3,fold,-5
0.2,call,10
0.25,fold,-5
0.3,fold,-5
0.2,fold,-5
0.25,call,10
1.0,fold,-5
0.25,fold,-5
0.4,raise,30
0.3,fold,-5
0.7,fold,-5
0.4,call,10
0.175,fold,-5
0.25,raise,-25
0.15,fold,-5
0.2,fold,-5
0.075,raise,-25
0.4,raise,-25
0.4,fold,-5
0.35,fold,-5
0.2,call,10
0.125,fold,-5
0.5,fold,-5
0.25,fold,-5
0.2,fold,-5
0.55,raise,30
0.4,call,10
0.55,raise,30
0.25,fold,-5
0.2,raise,-25
0.3,fold,-5
0.125,raise,-25
0.2,raise,30
0.3,fold,-5
0.25,fold,-5
0.325,call,10
0.2,call,10
0.3,fold,-5
0.525,fold,-5
0.25,fold,-5
0.225,fold,-5
0.3,fold,-5
0.25,fold,-5
0.15,raise,30
0.4,call,10
0.25,fold,-5
0.125,fold,-5
0.2,raise,-85
0.225,fold,-5
0.2,fold,-5
0.25,raise,-25
0.125,fold,-5
0.8,fold,-5
0.2,raise,-45
0.35,fold,-5
0.15,fold,-5
0.125,fold,-5
0.2,fold,-5
0.4,fold,-5
0.3,call,2
0.125,fold,-5
0.35,raise,90
0.125,raise,-25
0.4,fold,-5
0.1,raise,-25
0.525,fold,-5
0.125,raise,30
0.125,call,10
0.15,call,10
0.175,fold,-5
0.3,raise,-25
0.25,call,10
0.45,fold,-5
0.175,fold,-5
0.125,fold,-5
0.2,raise,-25
0.3,fold,-5
0.7,fold,-5
0.225,raise,-25
0.125,fold,-5
0.125,call,2
0.15,call,10
0.5,fold,-5
0.4,fold,-5
0.2,fold,-5
0.125,call,10
0.15,call,-5
0.3,fold,-5
0.4,call,10
0.15,fold,-5
0.275,fold,-5
0.375,raise,-25
0.15,call,10
0.225,call,10
0.3,fold,-5
0.25,call,10
0.3,call,10
0.2,fold,-5
0.3,raise,-25
0.25,fold,-5
0.25,fold,-5
0.2,fold,-5
0.25,fold,-5
0.2,call,10
0.35,raise,70
0.3,fold,-5
0.2,call,-5
0.25,call,10
0.125,raise,-25
0.125,raise,-25
0.2,fold,-5
0.25,fold,-5
0.25,raise,-25
0.3,fold,-5
0.15,fold,-5
0.15,fold,-5
0.25,fold,-5
0.125,raise,30
0.2,fold,-5
0.25,fold,-5
0.35,fold,-5
0.525,fold,-5
0.15,fold,-5
0.4,raise,50
0.25,fold,-5
0.125,call,10
0.4,fold,-5
0.2,fold,-5
0.25,fold,-5
0.25,fold,-5
0.25,fold,-5
0.4,fold,-5
0.375,fold,-5
0.225,fold,-5
0.3,raise,30
0.125,fold,-5
0.25,fold,-5
0.15,fold,-5
0.55,fold,-5
0.2,fold,-5
0.225,call,10
0.275,fold,-5
0.15,raise,-25
0.25,fold,-5
0.4,raise,30
0.25,call,-5
0.2,call,10
0.25,fold,-5
0.275,raise,30
0.2,call,10
0.175,raise,-25
0.25,fold,-5
0.25,call,10
0.25,raise,-25
0.3,fold,-5
0.15,fold,-5
0.25,call,10
0.5,raise,30
0.25,fold,-5
0.175,fold,-5
0.2,fold,-5
0.125,raise,2
0.2,raise,50
0.25,fold,-5
0.4,fold,-5
0.2,call,-5
0.3,raise,30
0.15,raise,-25
0.6,raise,30
0.15,fold,-5
0.25,raise,-25
0.15,call,10
0.5,fold,-5
0.25,fold,-5
0.325,fold,-5
0.2,fold,-5
0.4,fold,-5
0.15,fold,-5
0.1,call,-5
0.275,call,10
0.225,call,-5
0.225,call,-5
0.175,fold,-5
0.15,raise,-25
0.2,fold,-5
0.15,fold,-5
0.5,call,10
0.175,call,10
0.125,call,10
0.4,call,10
0.175,fold,-5
0.125,fold,-5
1.0,fold,-5
0.4,fold,-5
0.2,call,10
0.4,fold,-5
0.25,fold,-5
0.175,fold,-5
0.4,fold,-5
0.2,fold,-5
0.125,fold,-5
0.15,raise,30
0.125,raise,2
0.3,raise,2
0.55,call,10
0.2,fold,-5
0.25,raise,-25
0.4,fold,-5
0.125,call,10
0.6,call,10
0.2,fold,-5
0.2,raise,-25
0.25,call,10
0.4,fold,-5
0.5,fold,-5
0.225,raise,2
0.35,call,10
0.175,fold,-5
0.3,fold,-5
0.4,fold,-5
0.2,call,10
0.175,fold,-5
0.3,call,10
0.325,call,-5
0.3,fold,-5
0.2,call,10
0.35,raise,-25
0.3,fold,-5
0.3,call,10
0.225,fold,-5
0.15,call,10
0.525,raise,30
0.225,raise,-25
0.25,call,-5
0.1,fold,-5
0.35,fold,-5
0.125,call,10
0.4,fold,-5
0.3,raise,30
0.275,fold,-5
0.4,fold,-5
0.3,call,-5
0.3,fold,-5
0.3,raise,-25
0.15,fold,-5
0.25,fold,-5
0.4,fold,-5
0.15,call,10
0.35,fold,-5
0.15,fold,-5
0.125,fold,-5
0.125,call,10
0.1,call,10
0.075,call,10
0.125,fold,-5
0.2,call,10
0.3,fold,-5
0.3,fold,-5
0.4,fold,-5
0.15,fold,-5
0.4,call,70
0.3,fold,-5
0.1,fold,-5
0.175,fold,-5
0.125,raise,30
0.125,fold,-5
0.4,fold,-5
0.275,fold,-5
0.2,fold,-5
0.25,fold,-5
0.125,fold,-5
0.2,call,-5
0.075,call,-5
0.3,fold,-5
0.225,call,10
0.3,fold,-5
0.5,call,10
0.075,call,-5
0.3,call,10
0.2,fold,-5
0.4,fold,-5
0.1,call,10
0.2,raise,-25
0.075,call,10
0.25,call,-5
0.25,fold,-5
0.325,call,10
0.175,call,10
0.325,fold,-5
0.325,fold,-5
0.3,raise,30
0.525,fold,-5
0.4,fold,-5
0.25,call,10
0.125,call,10
0.2,raise,-25
0.25,call,10
0.125,fold,-5
0.4,fold,-5
0.4,call,10
0.225,fold,-5
0.15,fold,-5
0.25,fold,-5
0.15,fold,-5
0.3,fold,-5
0.2,raise,50
0.55,fold,-5
0.225,raise,-25
0.45,fold,-5
0.075,raise,-25
0.2,fold,-5
0.6,fold,-5
0.45,fold,-5
0.4,fold,-5
0.2,fold,-5
0.25,fold,-5
0.2,fold,-5
0.5,raise,30
0.125,raise,-25
0.275,fold,-5
0.2,call,10
0.125,fold,-5
0.4,call,10
0.3,fold,-5
0.4,fold,-5
0.2,raise,-25
0.275,fold,-5
0.375,fold,-5
0.2,fold,-5
0.175,fold,-5
0.2,call,-5
0.15,fold,-5
0.2,call,-5
0.25,raise,30
0.225,fold,-5
0.5,call,10
0.2,call,10
0.25,fold,-5
0.075,raise,-25
0.15,raise,30
0.25,raise,-25
0.35,fold,-5
0.3,fold,-5
0.45,fold,-5
0.2,call,-5
0.25,call,-25
0.25,fold,-5
0.4,fold,-5
0.25,fold,-5
0.15,fold,-5
0.175,fold,-5
0.35,call,10
0.4,fold,-5
0.175,raise,2
0.3,fold,-5
0.25,fold,-5
0.25,raise,-25
0.175,call,10
0.2,fold,-5
0.15,fold,-5
0.175,fold,-5
0.125,raise,-25
0.3,fold,-5
0.15,fold,-5
0.15,raise,30
0.4,fold,-5
0.2,raise,-25
0.25,fold,-5
0.175,raise,-25
0.4,call,-5
0.5,fold,-5
0.3,fold,-5
0.075,raise,-25
0.35,call,10
0.3,fold,-5
0.125,fold,-5
0.4,fold,-5
0.175,fold,-5
0.3,fold,-5
0.4,fold,-5
0.4,raise,-25
0.35,fold,-5
0.5,fold,-5
0.2,call,10
0.3,fold,-5
0.25,fold,-5
0.4,raise,-25
0.15,fold,-5
0.2,raise,30
0.15,fold,-5
0.25,raise,-25
0.35,call,70
0.275,call,10
0.2,fold,-5
0.225,fold,-5
0.35,fold,-5
0.175,fold,-5
0.225,raise,-25
0.25,fold,-5
0.25,raise,-65
0.2,call,10
0.4,fold,-5
0.15,raise,-25
0.3,fold,-5
0.25,fold,-5
0.4,fold,-5
0.4,raise,30
0.35,fold,-5
0.2,fold,-5
0.4,fold,-5
0.15,call,-25
0.125,fold,-5
0.4,fold,-5
0.375,fold,-5
0.2,call,10
0.425,fold,-5
0.15,call,10
0.35,fold,-5
0.35,fold,-5
0.2,raise,-25
0.15,call,-5
0.4,fold,-5
0.4,fold,-5
0.4,fold,-5
0.225,raise,-25
0.175,fold,-5
0.3,fold,-5
0.25,raise,50
0.2,fold,-5
0.3,fold,-5
0.125,raise,-25
0.375,fold,-5
0.1,raise,-25
0.55,fold,-5
0.125,call,-5
0.2,call,10
0.4,raise,30
0.4,fold,-5
0.25,raise,30
0.4,call,10
0.4,call,10
0.35,raise,-65
0.4,raise,30
0.525,call,-5
0.275,call,10
0.4,fold,-5
0.25,call,10
0.25,fold,-5
0.35,call,-5
0.5,fold,-5
0.15,fold,-5
0.325,fold,-5
0.3,fold,-5
0.125,raise,70
0.1,fold,-5
0.25,call,-5
0.3,call,10
0.55,call,10
0.4,fold,-5
0.25,call,10
0.45,fold,-5
0.25,raise,-25
0.15,fold,-5
0.4,fold,-5
0.25,fold,-5
0.525,fold,-5
0.225,raise,30
0.3,raise,30
0.8,call,10
0.125,fold,-5
0.25,fold,-5
0.3,fold,-5
0.125,fold,-5
0.375,raise,30
0.2,fold,-5
1.0,fold,-5
0.125,fold,-5
0.3,fold,-5
0.2,fold,-5
0.2,fold,-5
0.275,raise,10
0.2,raise,-25
0.4,fold,-5
0.4,call,10
0.125,fold,-5
0.25,raise,-25
0.175,raise,-25
0.15,raise,30
0.225,raise,30
0.25,fold,-5
0.5,fold,-5
0.075,fold,-5
0.25,fold,-5
0.35,fold,-5
0.4,raise,30
0.25,fold,-5
0.15,fold,-5
0.1,call,10
0.25,call,-5
0.25,fold,-5
0.1,raise,30
0.4,fold,-5
0.45,fold,-5
0.525,fold,-5
0.3,fold,-5
0.225,raise,-25
0.25,fold,-5
0.1,fold,-5
0.125,call,-5
0.2,call,10
0.2,raise,-25
0.125,fold,-5
0.125,raise,-25
0.3,fold,-5
0.4,fold,-5
0.4,fold,-5
0.4,fold,-5
0.4,fold,-5
0.225,fold,-5
0.2,fold,-5
0.225,fold,-5
0.25,fold,-5
0.7,fold,-5
0.2,raise,30
0.225,fold,-5
0.25,fold,-5
0.275,raise,-65
0.125,call,10
0.175,fold,-5
0.4,fold,-5
0.175,fold,-5
0.35,fold,-5
0.125,fold,-5
0.125,raise,30
0.3,fold,-5
0.4,fold,-5
0.3,fold,-5
0.125,raise,-25
0.25,fold,-5
0.2,fold,-5
0.4,call,10
0.3,raise,-25
0.15,fold,-5
0.4,fold,-5
0.25,call,-5
0.25,fold,-5
0.35,fold,-5
0.525,fold,-5
0.125,raise,-25
0.15,call,-5
0.3,call,10
0.25,fold,-5
0.275,fold,-5
0.4,raise,2
0.3,fold,-5
0.4,fold,-5
0.275,fold,-5
0.175,call,-45
0.15,call,10
0.15,fold,-5
0.4,raise,-25
0.3,fold,-5
0.2,fold,-5
0.5,fold,-5
0.4,call,10
0.25,call,10
0.15,fold,-5
0.15,fold,-5
0.2,fold,-5
0.425,fold,-5
0.4,call,10
0.2,fold,-5
0.4,fold,-5
0.4,fold,-5
0.225,fold,-5
0.125,fold,-5
0.275,fold,-5
0.4,raise,30
0.3,fold,-5
0.125,fold,-5
0.15,call,-5
0.3,fold,-5
0.4,fold,-5
0.3,fold,-5
0.3,call,-5
0.3,fold,-5
0.175,call,10
0.3,fold,-5
0.2,fold,-5
0.2,fold,-5
0.25,fold,-5
0.2,call,10
0.4,raise,30
0.55,fold,-5
0.375,call,10
0.3,fold,-5
0.4,call,10
0.175,raise,-25
0.075,fold,-5
0.7,fold,-5
0.4,fold,-5
0.2,fold,-5
0.3,call,10
0.075,fold,-5
0.15,fold,-5
0.3,raise,-25
0.55,call,10
0.4,raise,2
0.45,call,10
0.275,fold,-5
0.3,raise,30
0.125,raise,-25
0.5,fold,-5
0.35,raise,-25
0.5,fold,-5
0.2,raise,-25
0.5,raise,30
0.225,fold,-5
0.35,raise,-25
0.2,fold,-5
0.3,raise,30
0.25,fold,-5
0.225,fold,-5
0.25,call,30
0.25,fold,-5
0.2,fold,-5
0.25,fold,-5
0.4,fold,-5
0.5,fold,-5
0.35,fold,-5
0.4,call,50
0.2,fold,-5
0.45,fold,-5
0.2,call,10
0.5,fold,-5
0.25,fold,-5
0.3,raise,-25
0.275,raise,-45
0.225,fold,-5
0.25,fold,-5
0.3,fold,-5
0.5,fold,-5
0.15,raise,-25
0.4,fold,-5
0.125,fold,-5
0.2,fold,-5
0.1,raise,-25
0.3,fold,-5
0.125,fold,-5
0.4,fold,-5
0.4,fold,-5
0.125,call,-5
0.5,fold,-5
0.4,fold,-5
0.225,raise,-25
0.4,fold,-5
0.25,call,10
0.45,fold,-5
0.15,fold,-5
0.1,call,10
0.5,raise,-25
0.2,fold,-5
0.3,fold,-5
0.4,call,10
0.225,fold,-5
0.175,call,10
0.15,fold,-5
0.25,fold,-5
0.075,raise,-25
0.2,fold,-5
0.375,fold,-5
0.15,call,10
0.425,call,10
0.175,fold,-5
0.25,call,10
0.125,fold,-5
0.4,fold,-5
0.3,call,30
0.25,fold,-5
0.35,fold,-5
0.25,raise,30
0.425,call,10
0.4,call,10
0.1,call,-5
0.2,fold,-5
0.125,fold,-5
0.125,fold,-5
0.35,fold,-5
0.15,fold,-5
0.4,fold,-5
0.2,raise,-45
0.6,raise,30
0.15,fold,-5
0.375,fold,-5
0.4,fold,-5
0.25,fold,-5
0.275,fold,-5
0.175,fold,-5
0.3,fold,-5
0.1,fold,-5
0.125,fold,-5
0.25,raise,2
0.075,call,10
0.25,raise,30
0.5,fold,-5
0.3,raise,30
0.4,call,10
0.2,fold,-5
0.4,call,-5
0.425,fold,-5
0.125,fold,-5
0.2,call,10
0.4,call,10
0.35,raise,-25
0.4,raise,-45
0.125,call,-5
0.225,fold,-5
0.3,raise,-25
0.075,fold,-5
0.25,fold,-5
0.3,raise,30
0.3,call,10
0.375,fold,-5
0.075,raise,-25
0.25,call,10
0.2,fold,-5
0.55,raise,-25
0.225,raise,30
0.4,fold,-5
0.2,fold,-5
0.15,fold,-5
0.15,fold,-5
0.25,fold,-5
0.4,raise,-45
0.4,fold,-5
0.3,fold,-5
0.325,call,10
0.2,fold,-5
0.25,fold,-5
0.25,fold,-5
0.4,raise,30
0.15,fold,-5
0.3,fold,-5
0.2,fold,-5
0.4,call,10
0.225,fold,-5
0.3,fold,-5
0.125,fold,-5
0.125,call,10
0.6,call,10
0.35,fold,-5
0.125,fold,-5
0.2,call,10
0.175,fold,-5
0.4,fold,-5
0.3,call,-5
0.3,raise,30
0.2,fold,-5
0.5,call,10
0.15,raise,-25
0.15,raise,30
0.15,fold,-5
0.15,fold,-5
0.3,raise,30
0.225,raise,30
0.7,fold,-5
0.4,fold,-5
0.4,fold,-5
0.15,fold,-5
0.4,call,10
0.175,call,-5
0.4,fold,-5
0.4,fold,-5
0.2,call,10
0.2,raise,30
0.25,fold,-5
0.15,fold,-5
0.275,raise,-25
0.6,fold,-5
0.25,fold,-5
0.25,fold,-5
0.15,fold,-5
0.4,raise,-65
0.2,fold,-5
0.4,raise,30
0.25,raise,30
0.7,raise,30
0.125,fold,-5
0.275,fold,-5
0.125,fold,-5
0.25,fold,-5
0.4,raise,30
0.4,call,10
0.175,fold,-5
0.55,raise,-25
0.2,raise,-25
0.25,raise,-25
0.3,fold,-5
0.25,raise,10
0.2,raise,10
0.3,raise,-25
0.15,fold,-5
0.4,fold,-5
0.25,fold,-5
0.15,fold,-5
0.225,fold,-5
0.2,fold,-5
0.25,raise,30
0.4,fold,-5
0.55,call,10
0.25,call,-5
0.25,fold,-5
0.2,fold,-5
0.425,fold,-5
0.25,call,10
0.25,raise,-25
0.2,call,10
0.35,fold,-5
0.4,fold,-5
0.5,fold,-5
0.275,call,10
0.3,raise,30
0.4,call,50
0.275,call,-5
0.5,fold,-5
0.2,fold,-5
0.3,fold,-5
0.4,raise,-65
0.225,call,2
0.325,fold,-5
0.275,call,10
0.25,fold,-5
0.125,fold,-5
0.4,raise,30
0.2,fold,-5
0.4,call,10
0.175,call,10
0.125,call,10
0.15,fold,-5
0.4,fold,-5
0.4,fold,-5
0.2,fold,-5
0.4,fold,-5
0.3,fold,-5
0.175,raise,-25
0.55,call,10
0.45,call,10
0.3,fold,-5
0.25,call,10
0.075,raise,-25
0.175,raise,-25
0.15,fold,-5
0.4,call,10
0.25,fold,-5
0.3,fold,-5
1.0,fold,-5
0.3,fold,-5
0.125,fold,-5
0.25,fold,-5
0.2,raise,-25
0.4,fold,-5
0.4,raise,70
0.4,fold,-5
0.2,fold,-5
0.4,call,-5
0.3,call,10
0.3,fold,-5
0.3,call,10
0.275,fold,-5
0.3,raise,-45
0.25,fold,-5
0.275,call,10
0.3,fold,-5
0.45,fold,-5
0.25,call,-5
0.15,fold,-5
0.4,raise,-25
0.25,fold,-5
0.175,fold,-5
0.25,fold,-5
0.2,fold,-5
0.35,fold,-5
0.525,call,10
0.2,call,-5
0.5,fold,-5
0.4,fold,-5
0.125,fold,-5
0.3,fold,-5
0.125,raise,-45
0.225,raise,-25
0.2,call,10
0.25,fold,-5
0.45,call,10
0.2,raise,-25
0.125,call,10
0.35,fold,-5
0.225,call,10
0.3,fold,-5
0.175,fold,-5
0.25,fold,-5
0.45,raise,-25
0.3,fold,-5
0.4,call,10
0.2,call,-5
0.25,call,10
0.125,call,-5
0.15,fold,-5
0.3,fold,-5
0.15,call,10
0.25,fold,-5
0.15,fold,-5
0.125,fold,-5
0.3,fold,-5
0.3,call,10
0.4,raise,-65
0.225,raise,50
0.175,fold,-5
0.15,fold,-5
0.3,raise,-25
0.2,raise,30
0.125,raise,2
0.225,call,-5
0.225,fold,-5
0.35,fold,-5
0.125,raise,-25
0.25,fold,-5
0.225,fold,-5
0.325,fold,-5
0.45,call,10
0.125,raise,-25
0.35,call,10
0.225,raise,-25
0.5,fold,-5
0.15,call,-5
0.45,fold,-5
0.3,raise,-85
0.4,fold,-5
0.3,fold,-5
0.5,fold,-5
0.275,raise,70
0.3,fold,-5
0.25,call,10
0.2,fold,-5
0.175,fold,-5
0.25,raise,50
0.4,call,-5
0.225,fold,-5
0.5,fold,-5
0.15,fold,-5
0.4,call,10
0.4,call,-25
0.55,raise,30
0.35,fold,-5
0.325,fold,-5
0.4,fold,-5
0.125,call,-5
0.125,fold,-5
0.15,raise,30
0.3,fold,-5
0.2,raise,-25
0.3,fold,-5
0.2,fold,-5
0.3,fold,-5
0.2,fold,-5
0.225,call,-5
0.4,fold,-5
0.225,call,10
0.15,raise,-25
0.4,raise,30
0.15,call,10
0.5,fold,-5
0.35,fold,-5
0.2,fold,-5
0.5,fold,-5
0.125,call,-5
0.25,call,10
0.25,fold,-5
0.4,fold,-5
0.35,fold,-5
0.4,fold,-5
0.3,fold,-5
0.175,fold,-5
0.125,fold,-5
0.3,raise,-25
0.25,fold,-5
0.15,fold,-5
0.4,call,10
0.3,fold,-5
0.075,call,-5
0.25,call,10
0.4,fold,-5
0.4,raise,-25
0.125,raise,-25
0.1,fold,-5
0.125,fold,-5
0.2,fold,-5
0.125,fold,-5
0.075,fold,-5
0.4,raise,30
0.3,fold,-5
0.4,fold,-5
0.275,fold,-5
0.15,fold,-5
0.4,call,10
0.2,call,10
0.15,call,10
0.375,fold,-5
0.225,call,10
0.2,fold,-5
0.25,fold,-5
0.15,fold,-5
0.275,fold,-5
0.25,fold,-5
0.175,fold,-5
0.3,fold,-5
0.15,fold,-5
0.15,fold,-5
0.3,fold,-5
0.25,fold,-5
0.3,fold,-5
0.6,raise,30
0.3,fold,-5
0.125,raise,-25
0.45,fold,-5
0.525,fold,-5
0.4,raise,-25
0.4,raise,30
0.075,call,10
0.275,raise,-25
0.1,call,-5
0.25,fold,-5
0.15,fold,-5
0.2,call,-5
0.175,fold,-5
0.15,fold,-5
0.25,fold,-5
0.4,raise,30
0.3,call,30
0.25,fold,-5
0.2,raise,-25
0.5,fold,-5
0.2,fold,-5
0.15,fold,-5
0.3,raise,-25
0.125,fold,-5
0.4,fold,-5
0.175,fold,-5
0.4,call,10
0.15,raise,-45
0.3,fold,-5
0.4,fold,-5
0.15,fold,-5
0.325,fold,-5
0.3,call,10
0.125,call,-5
0.15,fold,-5
0.175,fold,-5
0.225,fold,-5
0.25,call,10
0.2,call,-5
0.4,call,10
0.25,fold,-5
0.2,raise,2
0.25,raise,90
0.425,call,10
0.225,fold,-5
0.325,fold,-5
0.2,raise,30
0.4,fold,-5
0.2,fold,-5
0.2,call,10
0.175,fold,-5
0.175,raise,-25
0.25,fold,-5
0.275,fold,-5
0.15,call,10
0.225,call,10
0.4,fold,-5
0.225,fold,-5
0.425,fold,-5
0.5,fold,-5
0.45,fold,-5
0.35,call,-5
0.225,raise,30
0.4,raise,30
0.25,call,-5
0.2,fold,-5
0.175,call,10
0.125,fold,-5
0.15,fold,-5
0.15,fold,-5
0.225,fold,-5
0.15,call,10
0.4,raise,30
0.4,call,-5
0.4,call,10
0.1,raise,30
0.125,raise,-25
0.1,raise,-25
0.225,fold,-5
0.175,fold,-5
0.15,fold,-5
0.2,raise,30
0.25,fold,-5
0.225,fold,-5
0.25,raise,30
0.125,fold,-5
